url,domain,confidence,analysis_method,explanation,timestamp
https://www.admirals.group/,admirals.group,0.95,fallback,"The content appears to be from Admiral Markets' official website. It provides basic contact information and a copyright notice, which is standard and expected for a company website. There are no misleading claims, unauthorized offers, false representations, or inappropriate marketing tactics present in this excerpt.",2025-05-27T15:29:17.793901
https://www.admirals.group/admiral-markets-as,admirals.group,0.95,fallback,"The provided content appears to be from an official Admiral Markets website (admirals.group domain). It contains standard footer information like contact details, copyright notice, and links to privacy policy. There are no obvious compliance issues, misleading claims, or inappropriate content in this brief excerpt.",2025-05-27T15:29:17.793823
https://www.admirals.group/ee/home,admirals.group,0.95,fallback,"The provided content appears to be from Admiral Markets' official Estonian website. It contains standard footer information with contact details and a copyright notice. There are no obvious compliance issues, misleading claims, unauthorized offers or inappropriate marketing tactics present in this limited snippet.",2025-05-27T15:29:17.793921
https://www.aljazeera.net/ebusiness/2023/6/8/%D9%83%D9%84-%D9%85%D8%A7-%D8%AA%D8%B1%D9%8A%D8%AF-%D9%85%D8%B9%D8%B1%D9%81%D8%AA%D9%87-%D8%B9%D9%86-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D9%81%D9%8A-%D8%AA%D8%AF%D8%A7%D9%88%D9%84,aljazeera.net,0.9,fallback,"The article appears to be a general informational piece about investing in gold trading. It mentions Admiral Markets in passing as a source that published a report on how to trade gold online. There are no obvious compliance issues, misleading claims, unauthorized offers or false representations of Admiral Markets.",2025-05-27T15:29:17.793878
https://alphastrategicgrowth.com/top-forex-techniques-you-cant-miss/,alphastrategicgrowth.com,0.9,fallback,"The content appears to simply provide links to educational forex trading strategy articles on the Admiral Markets website. There are no misleading claims, unauthorized offers, false representations, or inappropriate marketing tactics evident in the limited context provided. The links point to legitimate educational resources from Admiral Markets.",2025-05-27T15:29:17.793472
https://alphastrategicgrowth.com/zh/%E6%82%A8%E4%B8%8D%E8%83%BD%E9%94%99%E8%BF%87%E7%9A%84%E9%A1%B6%E7%BA%A7%E5%A4%96%E6%B1%87%E6%8A%80%E6%9C%AF/,alphastrategicgrowth.com,0.95,fallback,"The content appears to simply provide links to legitimate educational articles about forex trading strategies from reputable sources like Admiral Markets and Investopedia. There are no misleading claims, unauthorized offers, false representations of Admiral Markets, or inappropriate marketing tactics evident in the limited context provided. The links point to informational resources and do not raise any obvious compliance red flags.",2025-05-27T15:29:17.793513
https://carrevolutis-prd-alb01-1773347870.eu-west-1.elb.amazonaws.com/fr/entreprise/admiral-markets,amazonaws.com,0.9,fallback,"The content appears to be a legitimate review of Admiral Markets and other forex trading platforms. It mentions Admiral Markets in a neutral, factual manner, noting competitive spreads and user-friendliness. There are no misleading claims, unauthorized offers, false representations, or obvious regulatory issues.",2025-05-27T15:29:17.793747
http://mhs7.blogspot.com/,blogspot.com,0.9,fallback,"The content appears to be simply linking to legitimate educational resources from the official Admiral Markets website. There are no misleading claims, unauthorized offers, false representations, or inappropriate marketing tactics present. The links direct users to informative articles on the basics of Forex trading and general trading tips, which aligns with Admiral Markets' educational offerings.",2025-05-27T15:29:17.793527
https://digitalmsn.com/stock-trading-for-beginners-pdf-3/,digitalmsn.com,0.9,fallback,"The content appears to be an educational article about trading strategies for beginners. The mention of Admiral Markets links to an educational article on their official website about trend trading strategies. This seems to be an appropriate reference and does not contain any misleading claims, unauthorized offers, false representations, or regulatory issues.",2025-05-27T15:29:17.793501
https://digitalmsn.com/trading-strategies-for-beginners/,digitalmsn.com,0.9,fallback,"The content appears to be an educational article about trading strategies for beginners. The mention of Admiral Markets is in the context of linking to an article on their site about trend trading strategies. This seems to be a legitimate reference and does not contain any misleading claims, unauthorized offers, false representations, or obvious regulatory issues.",2025-05-27T15:29:17.793362
https://easydyor.com/bit4/,easydyor.com,0.95,fallback,"The content appears to be linking to legitimate educational articles on the official Admiral Markets website about how to trade cryptocurrency CFDs. There are no misleading claims, unauthorized offers, false representations, or obvious regulatory issues. The links seem to be used in an appropriate context related to learning about crypto trading.",2025-05-27T15:29:17.793329
https://example.com/admiralmarkets-review,example.com,0.95,fallback,"The provided content appears to be a neutral review of Admiral Markets, mentioning their trading instruments and spreads without making any misleading claims, unauthorized offers, false representations or statements that raise regulatory concerns. The language used is factual and does not employ any inappropriate marketing tactics.",2025-05-27T15:29:17.793566
https://www.gutefrage.net/frage/ist-trading-haram,gutefrage.net,0.95,fallback,"The content appears to be a legitimate reference to an Islamic trading account offered by Admiral Markets. It links directly to an informational article on the official Admiral Markets website explaining how to open and use an Islamic account. There are no misleading claims, unauthorized offers, false representations, or inappropriate marketing tactics evident in this brief mention.",2025-05-27T15:29:17.793871
https://www.hadzalic.de/blockchain,hadzalic.de,0.95,fallback,"The content appears to be an informational article about blockchain technology that briefly mentions Admiral Markets in the context of explaining blockchain forks. There are no misleading claims, unauthorized offers, false representations, regulatory issues, or inappropriate marketing tactics related to Admiral Markets.",2025-05-27T15:29:17.793434
https://legit-review.com/admiralmarkets,legit-review.com,0.9,fallback,"The content appears to accurately represent Admiral Markets as a regulated broker with transparent fees and good customer service. It does not contain any obvious misleading claims, unauthorized offers, false representations, regulatory issues, or inappropriate marketing tactics.",2025-05-27T15:29:17.793554
https://mysbroker.com/admiralmarkets-vs-libertex/,mysbroker.com,0.9,fallback,"The content appears to be a legitimate comparison of Admiral Markets with another broker, Libertex. It mentions reviewing Admiral Markets and finding them reliable for forex trading, with competitive spreads and a user-friendly platform. The tone seems neutral and factual. No misleading claims, unauthorized offers, false representations or inappropriate marketing tactics were found.",2025-05-27T15:29:17.793717
https://news-site.com/admiralmarkets-expansion,news-site.com,0.95,fallback,"The content appears to be a factual news article about Admiral Markets expanding into new markets. It does not contain any misleading claims, unauthorized offers, false representations, or inappropriate marketing tactics. The information seems to accurately represent Admiral Markets' business activities.",2025-05-27T15:29:17.793542
https://licensees.cma.or.ke/licenses/5/,or.ke,0.95,fallback,"The content appears to be from an official regulatory website (Capital Markets Authority of Kenya) that is simply listing licensed forex brokers, including Admiral Markets. There are no misleading claims, unauthorized offers, false representations, or inappropriate marketing tactics associated with the Admiral Markets mention.",2025-05-27T15:29:17.793895
https://passiontrading.net/index.php/2024/01/17/horarios-del-mercado-forex-sesiones-volatilidad-y-oportunidades/,passiontrading.net,0.9,fallback,"The content appears to be a general informational article about Forex market hours, sessions, volatility and opportunities. It mentions AdmiralMarkets in passing as an example of a broker, but does not make any misleading claims, unauthorized offers, or false representations about the company. The mention of AdmiralMarkets being reliable for forex trading seems to be the author's opinion based on their review. Overall, the content does not raise any major compliance red flags.",2025-05-27T15:29:17.793735
https://peerresearchltd.com/chitat%D1%8C-knigu-pereigrat%D1%8C-dilera-na-rynke-forex/,peerresearchltd.com,0.8,fallback,"The content appears to be a neutral review of Admiral Markets and other forex brokers. It mentions considering factors like fees, platform reliability, and customer service when comparing brokers. The statements about Admiral Markets are factual, noting that it offers competitive spreads and a user-friendly platform. No misleading claims, unauthorized offers, false representations or regulatory issues were found.",2025-05-27T15:29:17.793614
https://www.rahaasjad.ee/nio-aktsia-taielik-ulevaade/,rahaasjad.ee,0.95,fallback,"The mentions of Admiral Markets in this article appear to be simple references and links to Admiral Markets' own content about NIO stock. There are no misleading claims, unauthorized offers, false representations of Admiral Markets, or obvious regulatory issues. The article seems to be a straightforward overview of NIO stock and the mentions of Admiral Markets are appropriate.",2025-05-27T15:29:17.793842
https://solarkeypoints.com/2018/12/bright-days-investing-solar-energy/,solarkeypoints.com,0.95,fallback,"The content appears to be a legitimate article about investing in solar energy. The mention of Admiral Markets links to an educational article on their site about tips for investing in solar stocks. This seems to be an appropriate reference and does not contain any misleading claims, unauthorized offers, false representations, or inappropriate marketing tactics.",2025-05-27T15:29:17.793368
https://tingfutures.com/%E8%82%A1%E7%A5%A8%E6%9C%9F%E8%B2%A8%E9%A2%A8%E9%9A%AA,tingfutures.com,0.9,fallback,"The content appears to be an educational article about managing risk in stock futures trading. It mentions Admiral Markets in the context of linking to an article about price action trading strategies. There are no obvious compliance issues, misleading claims, unauthorized offers, or false representations of Admiral Markets.",2025-05-27T15:29:17.793387
https://rekvizitai.vz.lt/en/company/admiral_markets_uk_ltd_lietuvos_atstovybe/,vz.lt,0.95,fallback,"The content appears to be a standard business listing for Admiral Markets UK Ltd's Lithuanian branch office. It includes basic contact information like an email address and website URL. There are no misleading claims, unauthorized offers, false representations, or inappropriate marketing tactics present.",2025-05-27T15:29:17.793865
https://en.wikipedia.org/wiki/Warsaw_Stock_Exchange,wikipedia.org,0.95,fallback,"The mention of Admiral Markets in this Wikipedia article about the Warsaw Stock Exchange appears to be a simple reference citation. It does not contain any misleading information, unauthorized offers, false representations, regulatory issues, or inappropriate marketing tactics related to Admiral Markets.",2025-05-27T15:29:17.793835
